Latitude,Longitude,Datetime,Load
51.19,71.41,2020-12-08 17:15:00,3
51.06,71.39,2020-12-08 17:15:00,3
51.120000000000005,71.44,2020-12-08 17:15:00,3
51.15,71.5,2020-12-08 17:15:00,4
51.18,71.48,2020-12-08 17:15:00,3
51.17,71.39,2020-12-07 09:00:00,3
51.160000000000004,71.46000000000001,2020-12-07 09:00:00,3
51.120000000000005,71.43,2020-12-07 09:00:00,3
51.18,71.48,2020-12-07 09:00:00,6
51.15,71.37,2020-12-07 09:00:00,3
51.18,71.47,2020-12-07 09:00:00,3
51.17,71.41,2020-12-13 11:00:00,7
51.120000000000005,71.52,2020-12-13 11:00:00,4
51.15,71.41,2020-12-13 11:00:00,10
51.13,71.41,2020-12-13 11:00:00,3
51.15,71.47,2020-12-13 11:00:00,4
51.13,71.41,2020-12-11 16:00:00,3
51.14,71.52,2020-12-11 16:00:00,5
51.17,71.38,2020-12-11 16:00:00,5
51.160000000000004,71.43,2020-12-11 16:15:00,3
51.160000000000004,71.45,2020-12-10 09:30:00,3
51.160000000000004,71.43,2020-12-10 09:30:00,4
51.17,71.39,2020-12-10 09:30:00,7
51.15,71.48,2020-12-10 09:30:00,3
51.15,71.41,2020-12-10 09:30:00,9
51.160000000000004,71.44,2020-12-10 09:30:00,3
51.18,71.43,2020-12-07 09:00:00,6
51.17,71.48,2020-12-08 17:15:00,4
51.14,71.49,2020-12-08 17:15:00,4
51.09,71.4,2020-12-08 17:15:00,13
51.18,71.38,2020-12-08 17:15:00,3
51.13,71.41,2020-12-08 17:15:00,4
51.13,71.46000000000001,2020-12-08 17:15:00,7
51.11,71.43,2020-12-11 16:15:00,8
51.14,71.48,2020-12-11 16:15:00,5
51.18,71.48,2020-12-11 16:15:00,9
51.14,71.47,2020-12-11 16:15:00,5
51.17,71.45,2020-12-11 16:15:00,3
51.17,71.41,2020-12-11 16:15:00,6
51.13,71.46000000000001,2020-12-10 09:30:00,6
51.160000000000004,71.43,2020-12-10 09:45:00,7
51.15,71.47,2020-12-10 09:45:00,3
51.15,71.41,2020-12-10 09:45:00,3
51.160000000000004,71.47,2020-12-13 11:00:00,10
51.18,71.48,2020-12-13 11:00:00,4
51.15,71.37,2020-12-13 11:00:00,3
51.11,71.51,2020-12-13 11:00:00,3
51.11,71.43,2020-12-07 09:00:00,6
51.1,71.43,2020-12-07 09:00:00,3
51.19,71.4,2020-12-07 09:00:00,6
51.160000000000004,71.45,2020-12-07 09:00:00,3
51.17,71.41,2020-12-08 17:15:00,4
51.14,71.42,2020-12-08 17:15:00,7
51.1,71.43,2020-12-11 16:15:00,4
51.120000000000005,71.48,2020-12-11 16:15:00,3
51.15,71.46000000000001,2020-12-11 16:15:00,4
51.11,71.4,2020-12-11 16:15:00,7
51.17,71.41,2020-12-10 09:45:00,11
51.13,71.44,2020-12-10 09:45:00,4
51.17,71.39,2020-12-10 09:45:00,3
51.17,71.38,2020-12-10 09:45:00,10
51.13,71.46000000000001,2020-12-13 11:15:00,3
51.120000000000005,71.43,2020-12-13 11:15:00,5
51.13,71.46000000000001,2020-12-07 09:00:00,11
51.14,71.39,2020-12-07 09:00:00,3
51.17,71.42,2020-12-07 09:00:00,4
51.11,71.41,2020-12-08 17:15:00,3
51.160000000000004,71.47,2020-12-11 16:15:00,3
51.120000000000005,71.44,2020-12-11 16:15:00,4
51.160000000000004,71.45,2020-12-11 16:15:00,6
51.06,71.39,2020-12-11 16:15:00,5
